,name,address,sido,gigun
0,개포1호,서울 강남구 개포동 1229-18,서울,강남구
1,논현1호(서울),서울 강남구 논현동 164-16,서울,강남구
2,대치1호,서울 강남구 대치동936,서울,강남구
3,대치2호,서울 강남구 대치동 989-4,서울,강남구
4,도곡,서울 강남구 도곡동 416-4,서울,강남구
5,삼성1호,서울 강남구 삼성동 44-18,서울,강남구
6,세곡,서울 강남구 자곡동 611,서울,강남구
7,압구정신사,서울 강남구 신사동 640-5 대성빌딩 1층 1호,서울,강남구
8,역삼1호,서울 강남구 역삼동 837-15,서울,강남구
9,일원1동,서울 강남구 일원동 645,서울,강남구
10,일원본동,서울 강남구 수서동 747 삼성아파트 상가 104호,서울,강남구
11,청담역,서울 강남구 청담동 65 진흥아파트상가,서울,강남구
12,강일,서울 강동구 강일동 679-3 리슈빌오피스텔,서울,강동구
13,고덕1호(서울),서울 강동구 고덕동 650-1,서울,강동구
14,길1호,서울 강동구 길동 347-31,서울,강동구
15,둔촌1호,서울 강동구 둔촌동 454-5,서울,강동구
16,명일1호,서울 강동구 명일동 328-2,서울,강동구
17,상일,서울 강동구 고덕동 200-3,서울,강동구
18,성내,서울 강동구 성내2동 509-7 1층,서울,강동구
19,암사1호,서울 강동구 암사동 504-37,서울,강동구
20,암사2호,서울 강동구 암사동 446-18,서울,강동구
21,천호1호,서울 강동구 천호동 550번지 강천빌딩,서울,강동구
22,덕성여대,서울 강북구 우이동 72-148,서울,강북구
23,미아1호,서울 강북구 미아5동 1264-233,서울,강북구
24,미아사거리,서울 강북구 미아동 55-5,서울,강북구
25,미아역,서울 강북구 미아동 131-8,서울,강북구
26,수유1호,서울 강북구 수유동 385-2,서울,강북구
27,수유역점,서울 강북구 번동 461-127,서울,강북구
28,가양,서울 강서구 등촌동 75-1,서울,강서구
29,강서구청,서울 강서구 화곡동 986-16,서울,강서구
30,까치산역,서울 강서구 화곡동 343-62 라인씨티 1층,서울,강서구
31,등촌,서울 강서구 등촌동 649-14,서울,강서구
32,마곡1호,서울 강서구 강서로 마곡동 784-11 마곡오드카운티1차 111호,서울,강서구
33,마곡역,서울 강서구 마곡동 774-1,서울,강서구
34,발산역,서울 강서구 내발산동 655-6번지 1층 13호,서울,강서구
35,방화2호,서울 강서구 방화2동 580-27,서울,강서구
36,염창,서울 강서구 염창동 249-5,서울,강서구
37,화곡2호,서울 강서구 화곡동 400-45,서울,강서구
38,봉천2호,서울 관악구 봉천동 1674-20,서울,관악구
39,봉천3호,서울 관악구 봉천동 1632-9,서울,관악구
40,봉천4호,서울 관악구 봉천동 931-12,서울,관악구
